,index,f1,f2,f3,f4,f5,f6,f7,f8,clear,y,tipo
226,226,265.0,329.0,438.0,544.0,703.0,706.0,824.0,954.0,5122.0,0.0,4.0
173,173,273.0,333.0,417.0,573.0,698.0,752.0,813.0,1005.0,4505.0,0.0,4.0
188,188,304.0,416.0,497.0,663.0,781.0,819.0,914.0,1145.0,5634.0,0.0,4.0
215,215,272.0,338.0,453.0,568.0,724.0,722.0,859.0,970.0,5265.0,0.0,4.0
201,201,282.0,339.0,453.0,557.0,742.0,753.0,844.0,977.0,5710.0,0.0,4.0
241,241,271.0,345.0,462.0,555.0,738.0,705.0,836.0,964.0,5593.0,0.0,4.0
205,205,339.0,435.0,550.0,713.0,917.0,901.0,1048.0,1251.0,6926.0,0.0,4.0
190,190,322.0,438.0,538.0,771.0,892.0,881.0,1194.0,1285.0,6628.0,0.0,4.0
164,164,259.0,302.0,386.0,539.0,630.0,728.0,804.0,944.0,4102.0,0.0,4.0
167,167,260.0,316.0,389.0,551.0,642.0,719.0,770.0,942.0,4387.0,0.0,4.0
197,197,300.0,367.0,472.0,597.0,747.0,799.0,904.0,1060.0,5944.0,0.0,4.0
227,227,265.0,335.0,439.0,549.0,702.0,701.0,834.0,949.0,5182.0,0.0,4.0
127,127,306.0,413.0,545.0,700.0,850.0,916.0,1098.0,1448.0,6430.0,0.0,4.0
209,209,280.0,354.0,468.0,585.0,773.0,753.0,871.0,1023.0,5878.0,0.0,4.0
244,244,274.0,345.0,471.0,556.0,755.0,696.0,864.0,952.0,5573.0,0.0,4.0
185,185,284.0,359.0,446.0,622.0,725.0,807.0,870.0,1032.0,5101.0,0.0,4.0
236,236,262.0,332.0,444.0,538.0,708.0,679.0,832.0,924.0,5307.0,0.0,4.0
232,232,267.0,337.0,447.0,553.0,715.0,701.0,841.0,956.0,5212.0,0.0,4.0
225,225,279.0,328.0,464.0,532.0,696.0,698.0,827.0,932.0,4995.0,0.0,4.0
171,171,268.0,337.0,411.0,588.0,690.0,770.0,807.0,1021.0,4689.0,0.0,4.0
245,245,278.0,351.0,478.0,560.0,753.0,702.0,864.0,959.0,5675.0,0.0,4.0
143,143,305.0,421.0,506.0,707.0,798.0,829.0,954.0,1127.0,6474.0,0.0,4.0
251,251,271.0,347.0,460.0,556.0,726.0,704.0,844.0,960.0,5441.0,0.0,4.0
186,186,297.0,382.0,468.0,649.0,758.0,849.0,883.0,1085.0,5367.0,0.0,4.0
224,224,273.0,327.0,443.0,534.0,713.0,699.0,859.0,921.0,5047.0,0.0,4.0
162,162,264.0,328.0,412.0,569.0,647.0,731.0,836.0,990.0,3880.0,0.0,4.0
199,199,302.0,378.0,487.0,627.0,747.0,811.0,894.0,1067.0,5697.0,0.0,4.0
178,178,258.0,345.0,442.0,591.0,711.0,747.0,887.0,1039.0,4677.0,0.0,4.0
175,175,251.0,306.0,394.0,528.0,646.0,740.0,798.0,1008.0,4242.0,0.0,4.0
223,223,266.0,334.0,443.0,549.0,707.0,704.0,820.0,945.0,5091.0,0.0,4.0
159,159,251.0,307.0,382.0,535.0,675.0,747.0,832.0,996.0,4231.0,0.0,4.0
187,187,316.0,413.0,511.0,709.0,790.0,912.0,903.0,1169.0,5893.0,0.0,4.0
191,191,314.0,389.0,483.0,623.0,758.0,868.0,913.0,1138.0,6017.0,0.0,4.0
136,136,281.0,370.0,483.0,624.0,761.0,770.0,931.0,1125.0,5914.0,0.0,4.0
161,161,271.0,333.0,426.0,583.0,698.0,800.0,905.0,1074.0,4418.0,0.0,4.0
238,238,265.0,337.0,453.0,540.0,718.0,694.0,815.0,946.0,5496.0,0.0,4.0
145,145,299.0,420.0,511.0,738.0,789.0,899.0,956.0,1167.0,5813.0,0.0,4.0
252,252,276.0,350.0,458.0,562.0,736.0,718.0,852.0,977.0,5569.0,0.0,4.0
153,153,337.0,399.0,552.0,673.0,820.0,749.0,992.0,1123.0,5960.0,0.0,4.0
165,165,232.0,285.0,368.0,502.0,580.0,676.0,782.0,885.0,3874.0,0.0,4.0
222,222,265.0,339.0,450.0,551.0,726.0,701.0,823.0,951.0,5437.0,0.0,4.0
168,168,262.0,311.0,388.0,544.0,639.0,719.0,764.0,926.0,4384.0,0.0,4.0
198,198,305.0,372.0,484.0,604.0,740.0,822.0,882.0,1103.0,5911.0,0.0,4.0
217,217,268.0,337.0,450.0,559.0,728.0,725.0,847.0,974.0,5325.0,0.0,4.0
213,213,274.0,339.0,454.0,560.0,728.0,736.0,885.0,1010.0,5247.0,0.0,4.0
169,169,260.0,314.0,385.0,543.0,637.0,723.0,759.0,948.0,4384.0,0.0,4.0
214,214,275.0,342.0,456.0,565.0,730.0,733.0,863.0,994.0,5344.0,0.0,4.0
194,194,324.0,464.0,548.0,785.0,870.0,939.0,1097.0,1224.0,7272.0,0.0,4.0
230,230,265.0,333.0,443.0,543.0,711.0,696.0,828.0,945.0,5168.0,0.0,4.0
149,149,301.0,388.0,482.0,672.0,772.0,831.0,945.0,1148.0,5142.0,0.0,4.0
163,163,256.0,306.0,383.0,542.0,631.0,718.0,788.0,941.0,4088.0,0.0,4.0
206,206,302.0,379.0,499.0,624.0,776.0,765.0,924.0,1056.0,5600.0,0.0,4.0
235,235,262.0,335.0,439.0,548.0,704.0,691.0,817.0,938.0,5241.0,0.0,4.0
130,130,295.0,375.0,503.0,620.0,747.0,794.0,929.0,1157.0,5534.0,0.0,4.0
210,210,277.0,343.0,465.0,569.0,756.0,721.0,855.0,970.0,5682.0,0.0,4.0
141,141,347.0,467.0,586.0,741.0,994.0,1095.0,1148.0,1500.0,8569.0,0.0,4.0
231,231,266.0,335.0,443.0,549.0,711.0,699.0,831.0,952.0,5223.0,0.0,4.0
170,170,267.0,323.0,399.0,561.0,675.0,744.0,787.0,972.0,4509.0,0.0,4.0
183,183,367.0,511.0,634.0,804.0,902.0,1016.0,1101.0,1288.0,6605.0,0.0,4.0
174,174,258.0,311.0,389.0,543.0,620.0,702.0,771.0,925.0,3883.0,0.0,4.0
240,240,279.0,356.0,475.0,578.0,763.0,725.0,864.0,993.0,5719.0,0.0,4.0
184,184,300.0,380.0,473.0,659.0,716.0,814.0,869.0,1055.0,5163.0,0.0,4.0
152,152,321.0,398.0,525.0,654.0,837.0,818.0,1070.0,1301.0,7148.0,0.0,4.0
250,250,280.0,357.0,465.0,577.0,742.0,735.0,840.0,997.0,5619.0,0.0,4.0
172,172,265.0,331.0,408.0,580.0,694.0,765.0,824.0,1024.0,4707.0,0.0,4.0
150,150,267.0,367.0,450.0,608.0,729.0,780.0,884.0,1075.0,6321.0,0.0,4.0
202,202,309.0,378.0,512.0,618.0,870.0,825.0,1035.0,1169.0,7226.0,0.0,4.0
212,212,277.0,346.0,468.0,577.0,747.0,738.0,878.0,1007.0,5371.0,0.0,4.0
179,179,260.0,358.0,454.0,602.0,759.0,770.0,977.0,1211.0,5325.0,0.0,4.0
147,147,292.0,375.0,470.0,634.0,752.0,817.0,904.0,1091.0,5174.0,0.0,4.0
128,128,322.0,437.0,562.0,688.0,949.0,1059.0,1180.0,1457.0,7987.0,0.0,4.0
237,237,272.0,348.0,462.0,567.0,746.0,718.0,840.0,976.0,5642.0,0.0,4.0
157,157,239.0,303.0,367.0,512.0,643.0,661.0,724.0,853.0,4259.0,0.0,4.0
249,249,270.0,345.0,457.0,555.0,731.0,709.0,849.0,963.0,5515.0,0.0,4.0
177,177,247.0,321.0,403.0,538.0,685.0,702.0,815.0,926.0,4286.0,0.0,4.0
220,220,269.0,340.0,456.0,558.0,730.0,712.0,851.0,968.0,5363.0,0.0,4.0
134,134,289.0,372.0,503.0,628.0,800.0,777.0,925.0,1122.0,5977.0,0.0,4.0
192,192,315.0,407.0,507.0,677.0,806.0,877.0,1003.0,1173.0,6740.0,0.0,4.0
125,125,260.0,378.0,496.0,636.0,782.0,757.0,994.0,1207.0,5787.0,0.0,4.0
239,239,270.0,341.0,459.0,546.0,726.0,698.0,837.0,955.0,5508.0,0.0,4.0
189,189,327.0,430.0,535.0,733.0,917.0,927.0,1128.0,1254.0,7791.0,0.0,4.0
148,148,294.0,379.0,472.0,650.0,781.0,880.0,974.0,1177.0,5419.0,0.0,4.0
193,193,328.0,437.0,545.0,713.0,848.0,966.0,1069.0,1418.0,6904.0,0.0,4.0
195,195,356.0,516.0,572.0,899.0,856.0,997.0,1004.0,1562.0,7243.0,0.0,4.0
133,133,276.0,358.0,468.0,575.0,749.0,792.0,860.0,1158.0,5345.0,0.0,4.0
248,248,275.0,353.0,477.0,563.0,766.0,704.0,885.0,974.0,5713.0,0.0,4.0
139,139,297.0,389.0,534.0,652.0,869.0,787.0,1019.0,1208.0,6903.0,0.0,4.0
218,218,269.0,339.0,451.0,558.0,734.0,709.0,832.0,954.0,5387.0,0.0,4.0
221,221,266.0,341.0,451.0,557.0,727.0,707.0,839.0,964.0,5299.0,0.0,4.0
219,219,266.0,340.0,448.0,557.0,728.0,710.0,829.0,966.0,5336.0,0.0,4.0
200,200,281.0,335.0,447.0,539.0,696.0,705.0,848.0,915.0,5699.0,0.0,4.0
234,234,266.0,334.0,445.0,545.0,711.0,693.0,829.0,939.0,5152.0,0.0,4.0
140,140,313.0,424.0,543.0,661.0,814.0,901.0,995.0,1252.0,6245.0,0.0,4.0
155,155,238.0,313.0,401.0,541.0,611.0,651.0,730.0,846.0,4034.0,0.0,4.0
154,154,272.0,347.0,440.0,608.0,717.0,761.0,867.0,1094.0,5101.0,0.0,4.0
137,137,280.0,368.0,485.0,621.0,758.0,778.0,912.0,1152.0,5864.0,0.0,4.0
216,216,268.0,339.0,446.0,561.0,718.0,725.0,829.0,969.0,5295.0,0.0,4.0
144,144,302.0,420.0,495.0,729.0,791.0,938.0,958.0,1318.0,5683.0,0.0,4.0
146,146,290.0,394.0,474.0,678.0,759.0,858.0,974.0,1113.0,5594.0,0.0,4.0
182,182,382.0,497.0,666.0,864.0,1116.0,1221.0,1412.0,1706.0,8676.0,0.0,4.0
151,151,339.0,478.0,568.0,765.0,913.0,1028.0,1082.0,1423.0,8402.0,0.0,4.0
132,132,281.0,351.0,464.0,583.0,734.0,784.0,838.0,1164.0,5813.0,0.0,4.0
203,203,336.0,433.0,539.0,712.0,920.0,936.0,1050.0,1326.0,7349.0,0.0,4.0
208,208,276.0,337.0,448.0,561.0,727.0,737.0,842.0,976.0,5433.0,0.0,4.0
126,126,272.0,379.0,504.0,628.0,784.0,717.0,980.0,1103.0,5439.0,0.0,4.0
142,142,333.0,480.0,543.0,782.0,861.0,1066.0,995.0,1536.0,7170.0,0.0,4.0
196,196,299.0,385.0,476.0,624.0,765.0,815.0,944.0,1109.0,5831.0,0.0,4.0
211,211,273.0,346.0,464.0,567.0,746.0,726.0,860.0,989.0,5557.0,0.0,4.0
131,131,269.0,354.0,450.0,588.0,712.0,768.0,847.0,1173.0,5322.0,0.0,4.0
207,207,278.0,355.0,462.0,582.0,741.0,734.0,892.0,1009.0,5356.0,0.0,4.0
135,135,278.0,366.0,469.0,614.0,762.0,770.0,915.0,1111.0,5920.0,0.0,4.0
204,204,363.0,462.0,584.0,750.0,970.0,1025.0,1082.0,1406.0,7563.0,0.0,4.0
138,138,284.0,377.0,484.0,638.0,772.0,781.0,926.0,1138.0,6101.0,0.0,4.0
242,242,274.0,349.0,466.0,563.0,754.0,723.0,844.0,982.0,5675.0,0.0,4.0
166,166,257.0,312.0,388.0,547.0,655.0,739.0,791.0,957.0,4590.0,0.0,4.0
507,507,227.0,283.0,371.0,478.0,590.0,667.0,771.0,896.0,4177.0,1.0,2.0
